Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,128,0.443172,0.11594600000000001
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,128,24.62926912307741,1.8050081544816177
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,256,0.184424,0.0294887
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,256,0.43866499999999997,0.035979699999999996
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,256,28.404400587081884,1.4017671781490229
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,512,0.200678,0.0306286
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,512,0.44209799999999994,0.03761319999999999
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,512,28.445260763168346,1.6006617982818052
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,1024,0.219663,0.0297783
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,1024,0.44783199999999995,0.0379423
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,1024,28.535989522933946,1.5994079862087782
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,2048,0.297774,0.0333149
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,2048,0.48174399999999995,0.041248400000000005
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,2048,28.657792091369625,1.3900369824267098
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,4096,0.432359,0.040481699999999995
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,4096,0.548638,0.0420299
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,4096,28.90866541862484,1.6905161616745732
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,6144,0.61948,0.0409167
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,6144,0.7015939999999999,0.0459631
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,6144,29.17314219474792,1.68587022979227
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,8192,0.695471,0.0472906
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,8192,1.10935,0.057626699999999996
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,8192,29.743070363998445,1.5053587411197633
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,16384,1.3340299999999998,0.060558900000000006
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,16384,2.18785,0.0784581
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,16384,33.75626611709596,1.5682129972449699
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,128,0.135448,0.026331900000000002
Intel i9-13900K,NVIDIA GTX 1650,autorally,128,0.24476399999999998,0.110752
Intel i9-13900K,NVIDIA GTX 1650,torchrl,128,24.70457673072812,1.7695407930321057
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,256,0.15263800000000002,0.0260099
Intel i9-13900K,NVIDIA GTX 1650,autorally,256,0.238484,0.028414799999999997
Intel i9-13900K,NVIDIA GTX 1650,torchrl,256,28.54348134994507,1.5188542036891182
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,512,0.196435,0.0320444
Intel i9-13900K,NVIDIA GTX 1650,autorally,512,0.23871399999999998,0.0249006
Intel i9-13900K,NVIDIA GTX 1650,torchrl,512,28.67497205734252,1.6570401222206943
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,1024,0.286556,0.0346445
Intel i9-13900K,NVIDIA GTX 1650,autorally,1024,0.30599699999999996,0.0306022
Intel i9-13900K,NVIDIA GTX 1650,torchrl,1024,28.783922195434574,1.6545542624780571
Intel i9-13900K,NVIDIA GTX 1650,autorally,2048,0.404684,0.0381439
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,2048,0.483436,0.04310119999999999
Intel i9-13900K,NVIDIA GTX 1650,torchrl,2048,29.13482499122621,1.458942907895041
Intel i9-13900K,NVIDIA GTX 1650,autorally,4096,0.792676,0.0619396
Intel i9-13900K,NVIDIA GTX 1650,MPPI-Generic,4096,0.9680059999999999,0.06361230000000001
Intel i9-13900K,NVIDIA GTX 1650,torchrl,4096,30.61270952224731,1.6963275569290448
Intel i9-13900K,NVIDIA GTX 1650,autorally,6144,0.941817,0.062302199999999995
