Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
AMD Ryzen 5 5600X,N/A,ros2,1024,4.75178,0.240294
AMD Ryzen 5 5600X,N/A,ros2,2048,9.49957,0.379606
AMD Ryzen 5 5600X,N/A,ros2,4096,19.5829,0.78882
AMD Ryzen 5 5600X,N/A,ros2,6144,29.8719,0.864029
AMD Ryzen 5 5600X,N/A,ros2,8192,40.6365,1.05923
AMD Ryzen 5 5600X,N/A,ros2,16384,84.2601,1.6461299999999999
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,128,1.02439,0.0914058
Jetson Nano,NVIDIA Tegra X1,autorally,128,1.39656,0.6132350000000001
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,256,1.38392,0.061362599999999996
Jetson Nano,NVIDIA Tegra X1,autorally,256,1.50645,0.575889
Jetson Nano,NVIDIA Tegra X1,autorally,512,1.8465099999999999,0.574576
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,512,2.1225400000000003,0.11990999999999999
Jetson Nano,NVIDIA Tegra X1,autorally,1024,3.24459,0.607794
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,1024,4.10541,1.20212
Jetson Nano,NVIDIA Tegra X1,autorally,2048,5.921,0.577712
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,2048,7.296889999999999,0.398892
Jetson Nano,NVIDIA Tegra X1,autorally,4096,11.1589,0.5810310000000001
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,4096,14.1242,0.13336900000000002
Jetson Nano,NVIDIA Tegra X1,autorally,6144,16.5458,0.6052489999999999
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,6144,21.0746,0.229213
Jetson Nano,NVIDIA Tegra X1,autorally,8192,21.7672,0.628532
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,8192,28.0223,0.260565
Jetson Nano,NVIDIA Tegra X1,autorally,16384,44.1579,0.9470639999999999
Jetson Nano,NVIDIA Tegra X1,MPPI-Generic,16384,56.6497,0.350869
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,128,244.52353096008298,6.836382992734435
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,256,272.1423454284666,8.284302908674075
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,512,272.2986154556277,6.7142955407953275
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,1024,273.9064164161678,8.264008209738455
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,2048,275.45776700973533,8.236307152415145
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,4096,278.7579264640809,6.9359036559181995
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,6144,283.59609127044735,8.088589711420854
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,8192,289.85102915763883,6.6603095337345675
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,torchrl,16384,314.67958688735985,8.52166999146152
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,128,0.946763,0.292363
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,256,0.90375,0.0666886
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,512,0.909514,0.0332163
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,1024,1.03162,0.0307838
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,2048,1.40894,0.0556146
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,4096,2.71273,0.124459
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,6144,3.86298,0.100405
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,8192,5.25501,0.131005
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,autorally,16384,9.94003,0.196983
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,128,0.629243,0.1296
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,256,0.607396,0.0221034
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,512,0.728221,0.0301545
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,1024,1.03002,0.0349694
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,2048,1.64541,0.108883
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,4096,3.09244,0.0791065
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,6144,4.54514,0.135722
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,8192,6.10201,0.153504
Jetson Orin Nano (8 GB),NVIDIA Tegra GA10B,MPPI-Generic,16384,12.0695,0.217526
